#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITRES;;;;;;;;;;;;;;x
emperor;King;Roi;;;;;;;;;;;;x
emperor_female;Queen;Reine;;;;;;;;;;;;x
king;Duke;Duc;;;;;;;;;;;;x
king_female;Duchess;Duchesse;;;;;;;;;;;;x
duke;Count;Comte;;;;;;;;;;;;x
duke_female;Countess;Comtesse;;;;;;;;;;;;x
duke_alemanique;Graf;Graf;;;;;;;;;;;;x
duke_female_alemanique;Gräfin;Gräfin;;;;;;;;;;;;x
count;Lord;Seigneur;;;;;;;;;;;;x
count_female;Lady;Dame;;;;;;;;;;;;x
baron;Baron;Châtelain;;;;;;;;;;;;x
baron_female;Baroness;Châtelaine;;;;;;;;;;;;x

temple_emperor_christian;King-Bishop;Roi très Chrétien;;;;;;;;;;;;x
temple_king_christian;Prince-Archbishop;Prince-Archevêque;;;;;;;;;;;;x
temple_duke_christian;Prince-Bishop;Prince-Évêque;;;;;;;;;;;;x
temple_count_christian;Vicar;Vicaire;;;;;;;;;;;;x
temple_baron_christian;Deacon;Diacre;;;;;;;;;;;;x

#abbaye_emperor_christian;King-Bishop;Roi très Chrétien;;;;;;;;;;;;x
#abbaye_king_christian;Prince-Archbishop;Prince-Archevêque;;;;;;;;;;;;x
abbaye_duke_christian;Prince-Abbot;Prince-Abbé;;;;;;;;;;;;x
abbaye_count_christian;Abbot;Abbé;;;;;;;;;;;;x
abbaye_baron_christian;Prior;Prieur;;;;;;;;;;;;x

thalasso_emperor;High Prince;Grand Prince;;;;;;;;;;;;x
thalasso_king;Serenissime Doge;Doge Sérénissime;;;;;;;;;;;;x
thalasso_duke;Doge;Doge;;;;;;;;;;;;x
thalasso_count;Patrician;Patrice;;;;;;;;;;;;x
thalasso_baron;Patrician;Patricien;;;;;;;;;;;;x

city_emperor;Grand Prince;Grand Prince;;;;;;;;;;;;x
city_king;Magistrate;Magistrat;;;;;;;;;;;;x
city_duke;Burgmaster;Bourgmestre;;;;;;;;;;;;x
city_count;Lord Mayor;Maire;;;;;;;;;;;;x
city_baron;Mayor;Syndic;;;;;;;;;;;;x

#FOA;;;;;;;;;;;;;;x
RECTOR;Rector;Recteur;;;;;;;;;;;;x
RECTOR_fem;Rector;Rectrice;;;;;;;;;;;;x
emperor_foa;Your Majesty;Votre Majesté;;;;;;;;;;;;x
king_foa;Your Grace;Votre Grâce;;;;;;;;;;;;x
duke_foa;My Lord;Monseigneur;;;;;;;;;;;;x
count_foa;My Lord;Monseigneur;;;;;;;;;;;;x
baron_foa;My Lord;Mon Seigneur;;;;;;;;;;;;x
count_foa_female;My Lady;Madame;;;;;;;;;;;;x
baron_foa_female;My Lady;Ma Dame;;;;;;;;;;;;x

thalasso_emperor_foa;Your Highness;Votre Altesse;;;;;;;;;;;;x
thalasso_king_foa;Your Serene Grace;Votre Altesse Sérénissime;;;;;;;;;;;;x
thalasso_duke_foa;Your Grace;Votre Grâce;;;;;;;;;;;;x
thalasso_count_foa;Your honor;Votre Honneur;;;;;;;;;;;;x
thalasso_baron_foa;Your honor;Votre Honneur;;;;;;;;;;;;x
city_emperor_foa;Your Highness;Votre Altesse;;;;;;;;;;;;x
city_king_foa;Your Serene Grace;Votre Altesse Sérénissime;;;;;;;;;;;;x
city_duke_foa;Your Grace;Votre Grâce;;;;;;;;;;;;x
city_count_foa;Your honor;Votre Honneur;;;;;;;;;;;;x
city_baron_foa;Your honor;Votre Honneur;;;;;;;;;;;;x

temple_king_foa;Your Holiness;Votre Sainteté;;;;;;;;;;;;x
temple_duke_foa;Your Eminence;Votre Éminence;;;;;;;;;;;;x
temple_count_foa;Your Excellency;Votre Excellence;;;;;;;;;;;;x
temple_baron_foa;Your Excellency;Votre Excellence;;;;;;;;;;;;x
abbaye_duke_foa;Father;Mon Père;;;;;;;;;;;;x
abbaye_count_foa;Father;Mon Père;;;;;;;;;;;;x
abbaye_baron_foa;Brother;Mon Frère;;;;;;;;;;;;x

#ENTITES_DE;;;;;;;;;;;;;;x
empire_of;Kingdom of;Royaume de;;;;;;;;;;;;x
kingdom_of;Duchy of;Duché de;;;;;;;;;;;;x
duchy_of;County of;Comté de;;;;;;;;;;;;x
county_of;Lordship_of;Seigneurie de;;;;;;;;;;;;x
barony_of;Barony of;Châtellenie de;;;;;;;;;;;;x

thalasso_of;Principality of;Principauté de;;;;;;;;;;;;x
thalasso_kingdom_of;Serenissime Republic of;République Sérénissime de;;;;;;;;;;;;x
thalasso_duchy_of;City-State of;Cité-État de;;;;;;;;;;;;x
thalasso_county_of;City of;Cité de;;;;;;;;;;;;x
thalasso_barony_of;Municipality of;Commune de;;;;;;;;;;;;x
city_empire_of;Principality of;Principauté de;;;;;;;;;;;;x
city_kingdom_of;Republic of;République de;;;;;;;;;;;;x
city_duchy_of;City-State of;Cité-État de;;;;;;;;;;;;x
city_county_of;City of;Cité de;;;;;;;;;;;;x
city_barony_of;Municipality of;Commune de;;;;;;;;;;;;x

temple_kingdom_of_christian;Prince-Archbishopric of;Archevêché Princier de;;;;;;;;;;;;x
temple_duchy_of_christian;Prince-Bishopric of;Évêché Princier de;;;;;;;;;;;;x
temple_county_of_christian;Ecclesia of;Ecclesia de;;;;;;;;;;;;x
#temple_barony_of_christian;Decanat of;Décanat de;;;;;;;;;;;;x
temple_barony_of_christian;Church land;Temporel religieux de;;;;;;;;;;;;x

#abbaye_kingdom_of_catholic;;Archevêché Princier de;;;;;;;;;;;;x
abbaye_duchy_of_christian;Territorial Abbey of;Abbaye territoriale de;;;;;;;;;;;;x
abbaye_county_of_christian;Abbey of;Abbaye de;;;;;;;;;;;;x
abbaye_barony_of_christian;Priory of;Prieuré de;;;;;;;;;;;;x

#PLURIELS_ENTITES_DE;;;;;;;;;;;;;;x
empires;Kingdoms;Royaumes;;;;;;;;;;;;x
kingdoms;Duchies;Duchés;;;;;;;;;;;;x
duchies;Counties;Comtés;;;;;;;;;;;;x
counties;Lordships;Seigneuries;;;;;;;;;;;;x
baronies;Baronies;Châtellenies;;;;;;;;;;;;x

#FOA;;;;;;;;;;;;;;x
PORTIER;;Portier;;;;;;;;;;;;x
PORTIER_OF;;Col de;;;;;;;;;;;;x
PORTIER_FOA;;Monseigneur;;;;;;;;;;;;x
PORTIER_female;;Portier;;;;;;;;;;;;x
PORTIER_title_ruler_consort;;Portier;;;;;;;;;;;x
PORTIER_title_ruler_consort_female;;Portier;;;;;;;;;;;;x
SECULAR_ARCHBISHOP;Archbishop;Archevêque;;;;;;;;;;;;x
SECULAR_ARCHBISHOP_OF;Archbishopric of;Archidiocèse de;;;;;;;;;;;;x
SECULAR_ARCHBISHOP_FOA;Eminency;Votre Éminence;;;;;;;;;;;;x
SECULAR_BISHOP;Bishop;Evêque;;;;;;;;;;;;x
SECULAR_BISHOP_OF;Bishopric of;Diocèse de;Diocèse de;;;;;;;;;;;x
SECULAR_BISHOP_FOA;Eminency;Votre Éminence;;;;;;;;;;;;x
ABBE_TERRITORIAL;Abbot;Abbé;;;;;;;;;;;;x
ABBE_TERRITORIAL_OF;Territorial abbey of;Abbaye Territoriale de;;;;;;;;;;;;x
ABBE_TERRITORIAL_FOA;Father;Mon Père;;;;;;;;;;;;x
VICOMTE;Viscount;Vicomte;;;;;;;;;;;;x
VICOMTE_female;Viscountess;Vicomtesse;;;;;;;;;;;;x
VICOMTE_FOA;My Lord;Votre seigneurie;;;;;;;;;;;;x
VICOMTE_OF;My Lord;Vicomté de;;;;;;;;;;;;x

#lobby rank filters;;;;;;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES;§YLords§!;§YSeigneurs§!;;;;;;;;;;;;x
MAPMODE_DEFACTO_COUNTIES_DESC;This map mode shows all the counts.;Ce mode de carte affiche tous les comtes.;Dieser Kartenmodus zeigt alle Grafen.;;Este mapa muestra todos los condes.;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES;§YCounts§!;§YComtes§!;§YGrafen§!;;§YCondes§!;;;;;;;;;x
MAPMODE_DEFACTO_DUCHIES_DESC;This map mode shows all the counts.;Ce mode de carte affiche tous les comtes.;Dieser Kartenmodus zeigt alle Grafen.;;Este mapa muestra todos los condes.;;;;;;;;;x
MAPMODE_DEFACTO_KINGDOMS;§YDukes§!;§YDucs§!;§YHerzöge§!;;§YDuques§!;;;;;;;;;x
