#;;x;;;;;;;;;;;;x
#;;MODIFIEURS;;;;;;;;;;;;x
great_pass;;Col Majeur;;;;;;;;;;;;x
great_pass_desc;;Ce col est un des passages clé à travers les Alpes. S'en assurer le contrôle représente un avantage financier et stratégique non négligeable.;;;;;;;;;;;;;x
minor_pass;;Col Mineur;;;;;;;;;;;;x
minor_pass_desc;;Ce col, bien que d'importance moindre procure néanmoins quelques avantages non sans intérêts.;;;;;;;;;;;;x
pont_fluvial;;Pont;;;;;;;;;;;;x
pont_fluvial_desc;;Le pont qui enjambe cet important cours d'eau est un passsage obligé pour de nombreux marchands qui peut être mis à profit pour générer des revenus comfortables par une politique de prélèvement de droits de péages.;;;;;;;;;;;;x
route_fluviale01;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale01_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale02;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale02_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale03;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale03_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale04;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale04_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale05;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale05_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale06;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale06_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale07;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale07_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale08;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale08_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale09;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale09_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale10;;Voie Commerciale Fluviale;;;;;;;;;;;;x
route_fluviale10_desc;;Voie Commerciale Fluviale;;;;;;;;;;;;x
province_cotiere;;Province côtière;;;;;;;;;;;;x
province_cotiere_desc;;Cette province bénéficie d'une ouverture maritime propice au commerce et à la pêche.;;;;;;;;;;;;x
route_terrestre01;;Route Commerciale Vienne-Aoste;;;;;;;;;;;;x
route_terrestre01_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre02;;Route Commerciale;;;;;;;;;;;;x
route_terrestre02_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre03;;Route Commerciale Lyon-Aoste;;;;;;;;;;;;x
route_terrestre03_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre04;;Route Commerciale;;;;;;;;;;;;x
route_terrestre04_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre05;;Route Commerciale;;;;;;;;;;;;x
route_terrestre05_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre06;;Route Commerciale;;;;;;;;;;;;x
route_terrestre06_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre07;;Route Commerciale;;;;;;;;;;;;x
route_terrestre07_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre08;;Route Commerciale;;;;;;;;;;;;x
route_terrestre08_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre09;;Route Commerciale;;;;;;;;;;;;x
route_terrestre09_desc;;Route Commerciale;;;;;;;;;;;;x
route_terrestre10;;Route Commerciale;;;;;;;;;;;;x
route_terrestre10_desc;;Route Commerciale;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
achat_indulgence;;Indulgences perçues;;;;;;;;;;;;x
#achat_indulgence_refuse;;Indulgences refusées;;;;;;;;;;;;x
rachat_excommunion;;Repentance tarifée;;;;;;;;;;;;x
rachat_excommunion_desc;;Le Pape a levé une excommunication contre versement d'une somme d'argent... pas très catholique tout ça !;;;;;;;;;;;;x
pregnant_death;giving birth;en couches;;;;;;;;;;;;x
mort_ne_death;;mort-né;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;MINOTR TITLE;;;;;;;;;;;;x
title_court_poet_christian;;Poète de la Cour;;;;;;;;;;;;x
title_court_poet_christian_desc;;Le Poète aime à déclamer vers et prose pour votre bon plaisir et celui des Dames de la cour. De plus, avoir votre Poète attitré ne peut qu'augmenter le rayonnement et la renommée de finesse de votre cour.;;;;;;;;;;;;x
title_court_troubadour;;Troubadour de la Cour;;;;;;;;;;x
title_court_troubadour_desc;;Les Troubadours sont des personnages estimés dans la tradition occitane. Accueillir à votre cour un Troubadour de renom augmentera d'autant le rayonnement culturel de votre cour.;;;;;;;;;;x
title_vassal_desavoue;;Vassal désavoué;;;;;;;;;;x
title_vassal_desavoue_desc;;Vous méprisez tellement cet individu que vous le désavouez publiquement. A n'en point douter, cette humiliation n'aura pour égal que la détestation que celui-ci nourrira pour votre personne.;;;;;;;;;;x
title_trainee_du_royaume;;Courtisane désavouée;;;;;;;;;;x
title_trainee_du_royaume_desc;;Votre déplaisir à l'endroit de cette femme est tel que vous décidez la désavouer aux yeux de tous. A n'en point douter, cette humiliation n'aura pour égal que la détestation que celle-ci nourrira pour votre personne.;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;BOOKMARKS;;;;;;;;;;;;x
#;;BM names and desc;;;;;;;;;;;;x
BM_1032_ERA;The End of the Rodolphians;Le Roi est mort ! Vive l'Indépendance !;;;;;;;;;;;;x
BM_1032_ERA_INFO;;Mort sans descendance, le dernier Roi de Bourgogne, Rodolphe III, dit le Pieux, lègue les droits sur son royaume à l'Empereur Konrad II. Après avoir affronté quelques velléités soulevées par cette succession, l'Empereur récupère le pouvoir. Pouvoir très relatif et plutôt lâche sur la région, qui permet à chacun une relative indépendance de fait. \nVoilà une situation fort favorable à l'émergence de nouvelles puissances telles que les comtes de Savoie, les comtes d'Albon-Viennois, ou tout simplement VOUS Monseigneur ! \n \n A vous de jouer.;;;;;;;;;;;;x
BM_1309_ERA;;La République de Genève;;;;;;;;;;;;x
BM_1309_ERA_INFO;;Acquisition des droits et d'autonomie des citoyens de la cité genevoise.;;;;;;;;;;;;x
#;;ERA char_name (regnal) + char_desc;;;;;;;;;;;;x
ERA_CHAR_NAME_100036;Géraud II de Genève;;;;;;;;;;;;;x
ERA_CHAR_INFO_100036;Géraud II de Genève blabla;;;;;;;;;;;;;x
ERA_CHAR_NAME_100000;Aymerard Ier de Faucigny;;;;;;;;;;;;;x
ERA_CHAR_INFO_100000;Aymerard Ier de Faucigny blabla;;;;;;;;;;;;;x
ERA_CHAR_NAME_200001;Bernard de Plainpalais;;;;;;;;;;;;;x
ERA_CHAR_INFO_200001;Bernard de Plainpalais est Patricien et Bourgmestre de la cité.;;;;;;;;;;;;;x
ERA_CHAR_NAME_200002;Humbert de Saconnex;;;;;;;;;;;;;x
ERA_CHAR_INFO_200002;Humbert de Saconnex est Patricien de la cité.;;;;;;;;;;;;;x
ERA_CHAR_NAME_200003;Aymon d'Aygues-Vives;;;;;;;;;;;;;x
ERA_CHAR_INFO_200003;Aymon d'Aygues-Vives est Patricien de la cité.;;;;;;;;;;;;;x
ERA_CHAR_NAME_200004;Guillaume de Sécheron;;;;;;;;;;;;;x
ERA_CHAR_INFO_200004;Guillaume de Sécheron est Patricien de la cité.;;;;;;;;;;;;;x
ERA_CHAR_NAME_200005;Aymon de Champel;;;;;;;;;;;;;x
ERA_CHAR_INFO_200005;Aymon de Champel est Patricien de la cité.;;;;;;;;;;;;;x
#;;ERA titres en dur;;;;;;;;;;;;x
BM_comte_de_genevois;County of Genevois;Comté de Genevois;;;;;;;;;;;;x
BM_sire_de_faucigny;Lordship of Faucigny;Seigneurie de Faucigny;;;;;;;;;;;;x
BM_cite_de_geneve;City-state of Geneva;Cité-état de Genève;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;DIVERS;;;;;;;;;;;;x
TITULAR_TITLE;§YTitular Title§! (no de jure vassals);§YTitre non terrien§! (pas de vassaux de jure);§YNomineller Title§! (keine de jure-Vasallen);;§Ytítulo titular§! (sin vasallos de iure);;;;;;;;;x
DUCAL;Ducal;Les;Herzöglich;;Ducal;;;;;;;;;x
COUNTY;County;Les;Grafschaft;;Condado;;;;;;;;;x
ROYAL;Royal;Les;Königlich;;Real;;;;;;;;;x
REPUBLICAN;Republican;Les;Republikanisch;;Republicano;;;;;;;;;x
IMPERIAL;Imperial;Les;Kaiserlich;;Imperial;;;;;;;;;x
DEJURE_LAW;Crown Laws in §Y$TITLE$ :§! ;Lois de la Couronne en §Y$TITLE$ :§! ;§Y$TITLE_ADJ$ Krongesetze:§! ;;Leyes de la Corona §Y$TITLE_ADJ$:§!;;;;;;;;;x
LAWS;Laws;Lois;Gesetze;;Leyes;;;;;;;;;x
LAW_MENU;Laws;Codex des Lois;Gesetze;;Leyes;;;;;;;;;x
